source_value,frequency,concept_id,concept_name,domain,vocabulary
"ST elevatoin, consider Early repolarization",1.0,4295129,ST segment elevation,Condition,SNOMED
"ST elevstion, consider Early repolarization",1.0,4295129,ST segment elevation,Condition,SNOMED
"Nonspecific ST abnormality ,consider inferior and lateral ischemia",1.0,4137208,EKG: inferior ischemia,Condition,SNOMED
ST -T wave change,1.0,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,SNOMED
"Nonspecific ST and T wave abnormality , anterolateral ischemia",1.0,4139185,EKG: anterior ischemia,Condition,SNOMED
"Nonspecific ST and T wave abnormality ,consider inferolateral ischemia",1.0,4137208,EKG: inferior ischemia,Condition,SNOMED
"ST & T wave abnormality , consider anterior ischemia and inferior ischemia",1.0,4139185,EKG: anterior ischemia,Condition,SNOMED
ST-T change,1.0,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,SNOMED
Supraventricular tachycardia with Premature supraventricular complexes and with frequent,1.0,4275423,Supraventricular tachycardia,Condition,SNOMED
Supraventricular tachycardia with premature supraventricular complexes with occasional,1.0,4275423,Supraventricular tachycardia,Condition,SNOMED
"ST & T wave abnormality , consider lateral & inferior ischemia",1.0,4137208,EKG: inferior ischemia,Condition,SNOMED
ST abnormality consider inferolateral ischemia,1.0,4137208,EKG: inferior ischemia,Condition,SNOMED
"ST abnormality, consider anterolateral ischemia",1.0,4139185,EKG: anterior ischemia,Condition,SNOMED
"ST-T change,consider anterolateral ischemia",1.0,4139185,EKG: anterior ischemia,Condition,SNOMED
"T wave abnormality , consider anterior&inferior ischemia",1.0,4139185,EKG: anterior ischemia,Condition,SNOMED
"T wave abnormality , consider inferior ischemia or digitalis effect with occasional",1.0,4137208,EKG: inferior ischemia,Condition,SNOMED
"T wave abnormality , consider inferior and lateral ischemia",1.0,4137208,EKG: inferior ischemia,Condition,SNOMED
"T wave abnormality , consider inferior ischemia & lateral ischemia",1.0,4137208,EKG: inferior ischemia,Condition,SNOMED
Tall T waves,1.0,4089477,Tall T wave,Condition,SNOMED
Tall T-wave,1.0,4089477,Tall T wave,Condition,SNOMED
Tall Twaves,1.0,4089477,Tall T wave,Condition,SNOMED
"Unusual P axis, possible ectopic atrial bradycardia with premature supraventricular complexes",1.0,4181676,P wave axis - finding,Condition,SNOMED
"Unusual P axis, possible ectopic atrial bradycardia with Premature supraventricular complexes and with occasional",1.0,4181676,P wave axis - finding,Condition,SNOMED
"Unusual P axis, possible ectopic atrial bradycardia with short PR",1.0,4181676,P wave axis - finding,Condition,SNOMED
"Unusual P axis, possible ectopic atrial rhythm with 1 degree AV block",1.0,4181676,P wave axis - finding,Condition,SNOMED
"Unusual P axis, possible ectopic atrial rhythm with 1st degree A-V block with occasional",1.0,4181676,P wave axis - finding,Condition,SNOMED
"Unusual P axis, possible ectopic atrial rhythm with Premature supraventricular complexes with frequent",1.0,4181676,P wave axis - finding,Condition,SNOMED
"Unusual P axis, possible ectopic atrial tachycardia with 2nd degree AV block with 2:1 AV conduction",1.0,4181676,P wave axis - finding,Condition,SNOMED
"Unusual P axis, possible ectopic atrial tachycardia with 2nd degree A-V block with 4:1 A-V conduction with frequent",1.0,4181676,P wave axis - finding,Condition,SNOMED
"Unusual P axis, possible ectopic atrial tachycardia with Premature supraventricular complexes and with occasional",1.0,4181676,P wave axis - finding,Condition,SNOMED
"Unusual P axis, possible ectopic atrial tachycardia with Premature supraventricular complexes with frequent",1.0,4181676,P wave axis - finding,Condition,SNOMED
"Unusual P axis,frequent",1.0,4181676,P wave axis - finding,Condition,SNOMED
Unusual P wave axis,1.0,4181676,P wave axis - finding,Condition,SNOMED
Ventricular pacing beat,1.0,4092038,Ventricular pacing pattern,Condition,SNOMED
Ventricular pacing rhythm,1.0,4092038,Ventricular pacing pattern,Condition,SNOMED
"Ventricular Pre-excitation, WPW pattern",1.0,4253363,Wolff-Parkinson-White pattern,Condition,SNOMED
"Ventricular pre-excitation, WPW syndrome",1.0,4253363,Wolff-Parkinson-White pattern,Condition,SNOMED
Ventricular premature complexes,1.0,4089462,Ventricular premature complex,Condition,SNOMED
ventricular-paced complexes and premature atrial complexes,1.0,4092038,Ventricular pacing pattern,Condition,SNOMED
ventricular-paced complexes and Premature supraventricular complexes and with frequent,1.0,4092038,Ventricular pacing pattern,Condition,SNOMED
Ventricular-paced rhythm with junctional escape complexes,1.0,4092038,Ventricular pacing pattern,Condition,SNOMED
Wide QRS,1.0,4321877,Wide QRS complex,Condition,SNOMED
Wide QRS rhythm with APB and VPB,1.0,4321877,Wide QRS complex,Condition,SNOMED
Wide QRS rhythm with Premature supraventricular complexes and with frequent,1.0,4321877,Wide QRS complex,Condition,SNOMED
Wide QRS rhythm with Premature supraventricular complexes with frequent,1.0,4321877,Wide QRS complex,Condition,SNOMED
Wide QRS tachycardia with Premature supraventricular complexes and with occasional,1.0,4321877,Wide QRS complex,Condition,SNOMED
Wide QRS tachycardia with Premature supraventricular complexes with frequent,1.0,4321877,Wide QRS complex,Condition,SNOMED
with sinus arrhythmia with 1st degree A-V block,1.0,4217221,Nodal rhythm disorder,Condition,SNOMED
WPW pattern,1.0,4253363,Wolff-Parkinson-White pattern,Condition,SNOMED
Normal sinus rhythm with sinus arrhythmia,32654.0,4217221,Sinus arrhythmia,Condition,SNOMED
"T wave abnormality , consider lateral ischemia",20992.0,4065390,EKG: T wave abnormal,Condition,SNOMED
Sinus bradycardia with 1st degree A-V block,16182.0,314379,First degree atrioventricular block,Condition,SNOMED
"ST & T wave abnormality , consider lateral ischemia",15915.0,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,SNOMED
"T wave abnormality , consider anterior ischemia",15578.0,4065390,EKG: T wave abnormal,Condition,SNOMED
"ST & T wave abnormality , consider anterolateral ischemia",13109.0,4137879,EKG: lateral ischemia,Condition,SNOMED
"T wave abnormality , consider inferior ischemia",12461.0,4065390,EKG: T wave abnormal,Condition,SNOMED
Sinus rhythm with Premature atrial complexes,10902.0,4115173,Atrial premature complex,Condition,SNOMED
Sinus bradycardia with sinus arrhythmia,10120.0,4217221,Nodal rhythm disorder,Condition,SNOMED
"T wave abnormality , consider anterolateral ischemia",9915.0,4137879,EKG: lateral ischemia,Condition,SNOMED
"ST & T wave abnormality , consider inferior ischemia",9639.0,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,SNOMED
Atrial fibrillation with slow ventricular response,9151.0,4088350,Slow ventricular response,Condition,SNOMED
"ST & T wave abnormality , consider anterior ischemia",7222.0,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,SNOMED
*** ** ** ** * ACUTE MI ** ** ** ** / STEMI ** **,5089.0,4296653,STEMI - ST elevation myocardial infarction,Condition,SNOMED
"ST & T wave abnormality , consider inferolateral ischemia",4768.0,4137879,EKG: lateral ischemia,Condition,SNOMED
"Unusual P axis, possible ectopic atrial rhythm",4466.0,4091898,Sinus rhythm,Condition,SNOMED
ST & Marked T wave abnormality consider anterolateral ischemia,4362.0,4137879,EKG: lateral ischemia,Condition,SNOMED
Sinus rhythm with Premature supraventricular complexes,4206.0,441872,Supraventricular premature beats,Condition,SNOMED
Sinus bradycardia with 1st degree AV block,4161.0,314379,First degree atrioventricular block,Condition,SNOMED
Sinus rhythm with sinus arrhythmia,3613.0,4217221,Nodal rhythm disorder,Condition,SNOMED
"T wave abnormality , consider inferolateral ischemia",3466.0,4137879,EKG: lateral ischemia,Condition,SNOMED
Sinus tachycardia with Premature atrial complexes,2825.0,4115173,Atrial premature complex,Condition,SNOMED
"ST & T wave abnormality , consider lateral ischemia or digitalis effect",2817.0,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,SNOMED
"ST & T wave abnormality , consider inferior ischemia or digitalis effect",2421.0,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,SNOMED
"ST & T wave abnormality , consider anterolateral ischemia or digitalis effect",2104.0,4137879,EKG: lateral ischemia,Condition,SNOMED
Marked sinus bradycardia with 1st degree A-V block,1941.0,314379,First degree atrioventricular block,Condition,SNOMED
"T wave abnormality , consider lateral ischemia or digitalis effect",1797.0,4065390,EKG: T wave abnormal,Condition,SNOMED
Sinus tachycardia with 1st degree A-V block,1775.0,314379,First degree atrioventricular block,Condition,SNOMED
Sinus tachycardia with short PR,1734.0,4171521,Shortened PR interval,Condition,SNOMED
"Unusual P axis, possible ectopic atrial bradycardia",1677.0,4169095,Bradycardia,Condition,SNOMED
Sinus bradycardia with marked sinus arrhythmia,1596.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
Marked T wave abnormality consider anterolateral ischemia,1585.0,4137879,EKG: lateral ischemia,Condition,SNOMED
"T wave abnormality , consider inferior ischemia or digitalis effect",1567.0,4065390,EKG: T wave abnormal,Condition,SNOMED
Marked sinus bradycardia with sinus arrhythmia,1420.0,4217221,Nodal rhythm disorder,Condition,SNOMED
"ST & T wave abnormality , consider inferolateral ischemia or digitalis effect",1417.0,4137879,EKG: lateral ischemia,Condition,SNOMED
Sinus bradycardia with Premature atrial complexes,1351.0,4115173,Atrial premature complex,Condition,SNOMED
Atrial flutter with 2:1 A-V conduction,1251.0,4111570,Partial atrioventricular block,Condition,SNOMED
Sinus rhythm with 1st degree A-V block with Premature atrial complexes,1181.0,4115173,Atrial premature complex,Condition,SNOMED
Sinus rhythm with sinus arrhythmia with 1st degree A-V block,1181.0,4217221,Nodal rhythm disorder,Condition,SNOMED
"Right bundle branch block , plus Right ventricular hypertrophy",1151.0,4231591,Right ventricular hypertrophy,Condition,SNOMED
Sinus tachycardia with Premature supraventricular complexes,1102.0,441872,Supraventricular premature beats,Condition,SNOMED
Atrial flutter with 4:1 A-V conduction,1067.0,4111570,Partial atrioventricular block,Condition,SNOMED
"ST & T wave abnormality , consider anterior ischemia or digitalis effect",1053.0,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,SNOMED
Sinus bradycardia with short PR,1043.0,4171521,Shortened PR interval,Condition,SNOMED
Sinus rhythm with premature atrial complexes,1024.0,4115173,Atrial premature complex,Condition,SNOMED
Premature ventricular complexes and Premature atrial complexes,953.0,4115173,Atrial premature complex,Condition,SNOMED
Junctional bradycardia,937.0,4166380,Junctional escape beats,Condition,SNOMED
Normal sinus rhythm with 1st degree A-V block,912.0,314379,First degree atrioventricular block,Condition,SNOMED
Atrial fibrillation with slow ventricular response with premature ventricular or aberrantly conducted complexes,847.0,4088350,Slow ventricular response,Condition,SNOMED
Atrial fibrillation with slow ventricular response with a competing junctional Pacemaker,843.0,4088350,Slow ventricular response,Condition,SNOMED
Sinus rhythm with sinus arrhythmia with occasional,767.0,4217221,Nodal rhythm disorder,Condition,SNOMED
"T wave abnormality , consider anterior ischemia or digitalis effect",739.0,4065390,EKG: T wave abnormal,Condition,SNOMED
"Marked T wave abnormality , consider lateral ischemia",661.0,4065390,EKG: T wave abnormal,Condition,SNOMED
Sinus rhythm with 2nd degree A-V block (Mobitz I),631.0,4205137,Mobitz type 1 second degree atrioventricular block,Condition,SNOMED
Marked sinus bradycardia with 1st degree AV block,582.0,314379,First degree atrioventricular block,Condition,SNOMED
Wide QRS tachycardia,582.0,444070,Tachycardia,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with 1st degree A-V block,573.0,314379,First degree atrioventricular block,Condition,SNOMED
"T wave abnormality , consider inferolateral ischemia or digitalis effect",541.0,4137879,EKG: lateral ischemia,Condition,SNOMED
"Unusual P axis, possible ectopic atrial tachycardia",539.0,444070,Tachycardia,Condition,SNOMED
"Marked T-wave abnormality, consider inferolateral ischemia",537.0,4137879,EKG: lateral ischemia,Condition,SNOMED
"T wave abnormality , consider anterolateral ischemia or digitalis effect",532.0,4137879,EKG: lateral ischemia,Condition,SNOMED
Sinus bradycardia with sinus arrhythmia with 1st degree A-V block,528.0,4217221,Nodal rhythm disorder,Condition,SNOMED
Sinus rhythm with 1st degree A-V block with Premature supraventricular complexes,501.0,441872,Supraventricular premature beats,Condition,SNOMED
"ST & Marked T-wave abnormality, consider inferolateral ischemia",463.0,4137879,EKG: lateral ischemia,Condition,SNOMED
Sinus bradycardia with Premature supraventricular complexes,460.0,441872,Supraventricular premature beats,Condition,SNOMED
Sinus rhythm with premature supraventricular complexes,430.0,441872,Supraventricular premature beats,Condition,SNOMED
"ST & Marked T wave abnormality , consider lateral ischemia",427.0,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,SNOMED
"Incomplete right bundle branch block , plus Right ventricular hypertrophy",407.0,4231591,Right ventricular hypertrophy,Condition,SNOMED
Sinus tachycardia with 2nd degree A-V block (Mobitz I),405.0,4205137,Mobitz type I incomplete atrioventricular block,Condition,SNOMED
Marked sinus bradycardia with marked sinus arrhythmia,363.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
"ST & Marked T wave abnormality , consider anterolateral ischemia",315.0,4137879,EKG: lateral ischemia,Condition,SNOMED
Sinus rhythm with sinus arrhythmia with short PR,308.0,4217221,Nodal rhythm disorder,Condition,SNOMED
"ST & Marked T wave abnormality , consider anterior ischemia",286.0,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,SNOMED
Sinus rhythm with Premature supraventricular complexes with occasional,258.0,441872,Supraventricular premature beats,Condition,SNOMED
"Marked T wave abnormality , consider anterior ischemia",255.0,4065390,EKG: T wave abnormal,Condition,SNOMED
Sinus bradycardia with marked sinus arrhythmia with 1st degree A-V block,251.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
Sinus bradycardia with premature atrial complexes,251.0,4115173,Atrial premature complex,Condition,SNOMED
Sinus rhythm with 2nd degree A-V block with 2:1 A-V conduction,247.0,318448,Second degree atrioventricular block,Condition,SNOMED
Sinus bradycardia with 1st degree A-V block with Premature atrial complexes,231.0,314379,First degree atrioventricular block,Condition,SNOMED
Sinus rhythm with sinus arrhythmia with frequent,228.0,4217221,Nodal rhythm disorder,Condition,SNOMED
Sinus tachycardia with 2nd degree A-V block with 2:1 A-V conduction,224.0,318448,Second degree atrioventricular block,Condition,SNOMED
Sinus bradycardia with 1st degree A-V block with occasional,194.0,314379,First degree atrioventricular block,Condition,SNOMED
Sinus rhythm with Premature supraventricular complexes and with occasional,194.0,441872,Supraventricular premature beats,Condition,SNOMED
Atrial flutter with 3:1 A-V conduction,189.0,4111570,Partial atrioventricular block,Condition,SNOMED
Marked sinus bradycardia with Premature atrial complexes,168.0,4115173,Atrial premature complex,Condition,SNOMED
"ST & Marked T wave abnormality , consider inferior ischemia",140.0,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,SNOMED
Marked sinus bradycardia with sinus arrhythmia with 1st degree A-V block,135.0,4217221,Nodal rhythm disorder,Condition,SNOMED
Sinus rhythm with sinus arrhythmia with 1st degree AV block,126.0,4217221,Nodal rhythm disorder,Condition,SNOMED
Accelerated Junctional rhythm with Premature supraventricular complexes,123.0,441872,Supraventricular premature beats,Condition,SNOMED
"Marked T wave abnormality , consider inferior ischemia",123.0,4065390,EKG: T wave abnormal,Condition,SNOMED
Sinus rhythm with short PR with Premature atrial complexes,118.0,4115173,Atrial premature complex,Condition,SNOMED
"Unusual P axis, possible ectopic atrial rhythm with occasional",118.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus tachycardia with 1st degree A-V block with Premature atrial complexes,113.0,314379,First degree atrioventricular block,Condition,SNOMED
Sinus bradycardia with sinus arrhythmia with occasional,112.0,4217221,Nodal rhythm disorder,Condition,SNOMED
Sinus tachycardia with short PR with occasional,106.0,4171521,Shortened PR interval,Condition,SNOMED
Normal sinus rhythm with short PR,104.0,4171521,Shortened PR interval,Condition,SNOMED
Sinus tachycardia with 1st degree AV block,104.0,314379,First degree atrioventricular block,Condition,SNOMED
Marked sinus bradycardia with marked sinus arrhythmia with 1st degree A-V block,101.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
"Unusual P axis, possible ectopic atrial rhythm with Premature atrial complexes",96.0,4091898,Sinus rhythm,Condition,SNOMED
"Marked T wave abnormality , consider anterolateral ischemia",94.0,4137879,EKG: lateral ischemia,Condition,SNOMED
Sinus tachycardia with 1st degree A-V block with occasional,92.0,314379,First degree atrioventricular block,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with Premature atrial complexes,89.0,4115173,Atrial premature complex,Condition,SNOMED
Sinus bradycardia with sinus arrhythmia with 1st degree AV block,88.0,4217221,Nodal rhythm disorder,Condition,SNOMED
Marked sinus bradycardia with short PR,87.0,4171521,Shortened PR interval,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with junctional escape complexes,87.0,4166380,Junctional escape beats,Condition,SNOMED
Atrial fibrillation with Premature ventricular complexes,83.0,4089462,Ventricular premature complex,Condition,SNOMED
Sinus rhythm with short PR with Premature supraventricular complexes,83.0,441872,Supraventricular premature beats,Condition,SNOMED
Sinus bradycardia with 1st degree A-V block with Premature supraventricular complexes,81.0,314379,First degree atrioventricular block,Condition,SNOMED
Sinus rhythm with Premature supraventricular complexes with frequent,80.0,441872,Supraventricular premature beats,Condition,SNOMED
Marked sinus bradycardia with Premature supraventricular complexes,79.0,441872,Supraventricular premature beats,Condition,SNOMED
Sinus bradycardia with premature supraventricular complexes,72.0,441872,Supraventricular premature beats,Condition,SNOMED
Sinus tachycardia with Premature supraventricular complexes with occasional,72.0,441872,Supraventricular premature beats,Condition,SNOMED
Premature atrial complexes with Premature supraventricular complexes,70.0,441872,Supraventricular premature beats,Condition,SNOMED
Sinus bradycardia with 1st degree A-V block with frequent,70.0,314379,First degree atrioventricular block,Condition,SNOMED
Sinus tachycardia with 1st degree A-V block with frequent,69.0,314379,First degree atrioventricular block,Condition,SNOMED
Sinus bradycardia with sinus arrhythmia with short PR,67.0,4217221,Nodal rhythm disorder,Condition,SNOMED
Sinus rhythm with 2nd degree AV block (Mobitz I),66.0,4205137,Mobitz type 1 second degree atrioventricular block,Condition,SNOMED
Sinus rhythm with Premature supraventricular complexes and with frequent,64.0,441872,Supraventricular premature beats,Condition,SNOMED
Sinus tachycardia with Premature supraventricular complexes and with occasional,64.0,441872,Supraventricular premature beats,Condition,SNOMED
Sinus bradycardia with marked sinus arrhythmia with occasional,63.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
Sinus rhythm with sinus arrhythmia with 1st degree A-V block with occasional,63.0,4217221,Nodal rhythm disorder,Condition,SNOMED
Sinus tachycardia with 2nd degree A-V block (Mobitz II),62.0,313780,Mobitz type II atrioventricular block,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with short PR,58.0,4171521,Shortened PR interval,Condition,SNOMED
Premature ventricular complexes with junctional escape complexes,57.0,4166380,Junctional escape beats,Condition,SNOMED
Sinus rhythm with Premature ventricular complexes,56.0,4089462,Ventricular premature complex,Condition,SNOMED
Normal sinus rhythm with 1st degree A-V block with occasional,55.0,314379,First degree atrioventricular block,Condition,SNOMED
Sinus tachycardia with 2nd degree A-V block with 3:1 A-V conduction,55.0,318448,Second degree atrioventricular block,Condition,SNOMED
ventricular-paced complexes and Premature supraventricular complexes,55.0,441872,Supraventricular premature beats,Condition,SNOMED
Sinus rhythm with 2nd degree A-V block (Mobitz II),54.0,313780,Mobitz type II atrioventricular block,Condition,SNOMED
Sinus tachycardia with 2nd degree AV block with 2:1 AV conduction,53.0,318448,Second degree atrioventricular block,Condition,SNOMED
Sinus bradycardia with 2nd degree A-V block (Mobitz I),51.0,4205137,Mobitz type 1 second degree atrioventricular block,Condition,SNOMED
Sinus tachycardia with 1st degree A-V block with Premature supraventricular complexes,50.0,314379,First degree atrioventricular block,Condition,SNOMED
"Unusual P axis, possible ectopic atrial rhythm with Premature supraventricular complexes",49.0,4091898,Sinus rhythm,Condition,SNOMED
Wide QRS tachycardia with frequent,49.0,444070,Tachycardia,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with 1st degree A-V block with occasional,48.0,314379,First degree atrioventricular block,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with Premature supraventricular complexes,48.0,441872,Supraventricular premature beats,Condition,SNOMED
Supraventricular tachycardia with Premature supraventricular complexes,48.0,441872,Supraventricular premature beats,Condition,SNOMED
Marked sinus bradycardia with 1st degree A-V block with Premature atrial complexes,44.0,314379,First degree atrioventricular block,Condition,SNOMED
Sinus rhythm with premature supraventricular complexes with occasional,44.0,441872,Supraventricular premature beats,Condition,SNOMED
Sinus tachycardia with short PR with frequent,44.0,4171521,Shortened PR interval,Condition,SNOMED
Junctional rhythm with Premature supraventricular complexes,42.0,441872,Supraventricular premature beats,Condition,SNOMED
Sinus tachycardia with 2nd degree A-V block (Mobitz I) with Premature supraventricular complexes,42.0,4205137,Mobitz type I incomplete atrioventricular block,Condition,SNOMED
premature ventricular complexes and premature atrial complexes,41.0,4115173,Atrial premature complex,Condition,SNOMED
Sinus rhythm with 1st degree AV block with premature atrial complexes,40.0,4115173,Atrial premature complex,Condition,SNOMED
Sinus tachycardia with short PR with Premature supraventricular complexes,39.0,4171521,Shortened PR interval,Condition,SNOMED
Junctional bradycardia with occasional,37.0,4166380,Junctional escape beats,Condition,SNOMED
Marked sinus bradycardia with premature atrial complexes,35.0,4115173,Atrial premature complex,Condition,SNOMED
Normal sinus rhythm with 1st degree AV block,35.0,314379,First degree atrioventricular block,Condition,SNOMED
Sinus tachycardia with premature atrial complexes,34.0,4115173,Atrial premature complex,Condition,SNOMED
Wide QRS tachycardia with occasional,34.0,444070,Tachycardia,Condition,SNOMED
Marked sinus bradycardia with 1st degree A-V block with frequent,33.0,314379,First degree atrioventricular block,Condition,SNOMED
Sinus tachycardia with short PR with Premature atrial complexes,32.0,4171521,Shortened PR interval,Condition,SNOMED
"Unusual P axis, possible ectopic atrial tachycardia with 2nd degree A-V block (Mobitz I)",32.0,444070,Tachycardia,Condition,SNOMED
Wide QRS rhythm with Premature supraventricular complexes,32.0,441872,Supraventricular premature beats,Condition,SNOMED
Marked sinus bradycardia with 1st degree A-V block with occasional,30.0,314379,First degree atrioventricular block,Condition,SNOMED
Marked sinus bradycardia with sinus arrhythmia with 1st degree AV block,30.0,4217221,Nodal rhythm disorder,Condition,SNOMED
Sinus tachycardia with junctional escape complexes,29.0,4166380,Junctional escape beats,Condition,SNOMED
"Unusual P axis, possible ectopic atrial tachycardia with occasional",29.0,444070,Tachycardia,Condition,SNOMED
Atrial fibrillation with slow ventricular response with occasional,28.0,4088350,Slow ventricular response,Condition,SNOMED
Atrial flutter with 4:1 AV conduction,28.0,4111570,Partial atrioventricular block,Condition,SNOMED
Sinus bradycardia with 1st degree AV block with occasional,27.0,314379,First degree atrioventricular block,Condition,SNOMED
Sinus rhythm with premature ventricular complexes,27.0,4089462,Ventricular premature complex,Condition,SNOMED
ventricular-paced complexes and Premature atrial complexes,27.0,4115173,Atrial premature complex,Condition,SNOMED
Normal sinus rhythm with 1st degree A-V block with frequent,26.0,314379,First degree atrioventricular block,Condition,SNOMED
Sinus rhythm with 1st degree A-V block with Premature supraventricular complexes with occasional,26.0,441872,Supraventricular premature beats,Condition,SNOMED
"Unusual P axis, possible ectopic atrial bradycardia with occasional",26.0,4169095,Bradycardia,Condition,SNOMED
"Unusual P axis, possible ectopic atrial rhythm with frequent",26.0,4091898,Sinus rhythm,Condition,SNOMED
Atrial fibrillation with slow ventricular response with frequent,25.0,4088350,Slow ventricular response,Condition,SNOMED
Atrial flutter with 2:1 AV conduction,24.0,4111570,Partial atrioventricular block,Condition,SNOMED
Marked sinus bradycardia with 1st degree A-V block with Premature supraventricular complexes,24.0,314379,First degree atrioventricular block,Condition,SNOMED
"Unusual P axis, possible ectopic atrial bradycardia with Premature atrial complexes",24.0,4169095,Bradycardia,Condition,SNOMED
"Unusual P axis, possible ectopic atrial tachycardia with Premature atrial complexes",24.0,444070,Tachycardia,Condition,SNOMED
Sinus bradycardia with marked sinus arrhythmia with frequent,23.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
Sinus rhythm with 2nd degree A-V block (Mobitz I) with Premature supraventricular complexes,23.0,4205137,Mobitz type 1 second degree atrioventricular block,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with 1st degree A-V block with Premature atrial complexes,23.0,314379,First degree atrioventricular block,Condition,SNOMED
"Unusual P axis, possible ectopic atrial tachycardia with Premature supraventricular complexes",23.0,444070,Tachycardia,Condition,SNOMED
Junctional bradycardia with Premature supraventricular complexes,22.0,4166380,Junctional escape beats,Condition,SNOMED
Sinus rhythm with sinus arrhythmia with junctional escape complexes,22.0,4217221,Nodal rhythm disorder,Condition,SNOMED
Normal sinus rhythm with Premature atrial complexes,21.0,4115173,Atrial premature complex,Condition,SNOMED
Sinus bradycardia with Premature supraventricular complexes with occasional,21.0,441872,Supraventricular premature beats,Condition,SNOMED
Sinus tachycardia with 2nd degree A-V block (Mobitz I) with occasional,21.0,4205137,Mobitz type I incomplete atrioventricular block,Condition,SNOMED
Sinus tachycardia with premature supraventricular complexes,21.0,441872,Supraventricular premature beats,Condition,SNOMED
"Marked T wave abnormality , consider inferolateral ischemia",20.0,4137879,EKG: lateral ischemia,Condition,SNOMED
Sinus rhythm with 1st degree A-V block with Premature supraventricular complexes and with occasional,20.0,441872,Supraventricular premature beats,Condition,SNOMED
Atrial-paced rhythm with Premature atrial complexes,19.0,4115173,Atrial premature complex,Condition,SNOMED
Normal sinus rhythm with sinus arrhythmia with 1st degree A-V block,19.0,4217221,Sinus arrhythmia,Condition,SNOMED
Sinus bradycardia with marked sinus arrhythmia with 1st degree AV block,19.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
Sinus rhythm with 2nd degree A-V block (Mobitz II) with Premature supraventricular complexes,19.0,313780,Mobitz type II atrioventricular block,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with 1st degree AV block,19.0,314379,First degree atrioventricular block,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with 1st degree A-V block with junctional escape complexes,19.0,314379,First degree atrioventricular block,Condition,SNOMED
Accelerated Junctional rhythm with Premature supraventricular complexes with occasional,18.0,441872,Supraventricular premature beats,Condition,SNOMED
Atrial-paced rhythm with prolonged AV conduction with Premature atrial complexes,18.0,4115173,Atrial premature complex,Condition,SNOMED
Sinus rhythm with 2nd degree A-V block (Mobitz I) with occasional,18.0,4205137,Mobitz type 1 second degree atrioventricular block,Condition,SNOMED
Sinus rhythm with Premature atrial complexes with junctional escape complexes,18.0,4115173,Atrial premature complex,Condition,SNOMED
Sinus rhythm with 1st degree AV block with premature supraventricular complexes,17.0,441872,Supraventricular premature beats,Condition,SNOMED
Sinus rhythm with 2nd degree AV block with 2:1 AV conduction,17.0,318448,Second degree atrioventricular block,Condition,SNOMED
Normal sinus rhythm with Premature ventricular complexes,16.0,4089462,Ventricular premature complex,Condition,SNOMED
Sinus bradycardia with marked sinus arrhythmia with Premature atrial complexes,16.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
Sinus tachycardia with Premature supraventricular complexes with frequent,16.0,441872,Supraventricular premature beats,Condition,SNOMED
"ST & Marked T wave abnormality , consider inferolateral ischemia",16.0,4137879,EKG: lateral ischemia,Condition,SNOMED
Atrial fibrillation with premature ventricular complexes,15.0,4089462,Ventricular premature complex,Condition,SNOMED
Sinus bradycardia with 1st degree AV block with premature atrial complexes,15.0,314379,First degree atrioventricular block,Condition,SNOMED
Sinus bradycardia with 2nd degree AV block (Mobitz I),15.0,4205137,Mobitz type 1 second degree atrioventricular block,Condition,SNOMED
Sinus bradycardia with marked sinus arrhythmia with Premature supraventricular complexes,15.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
Sinus rhythm with sinus arrhythmia with 1st degree A-V block with frequent,15.0,4217221,Nodal rhythm disorder,Condition,SNOMED
"Unusual P axis, possible ectopic atrial rhythm with 1st degree A-V block",15.0,4091898,Sinus rhythm,Condition,SNOMED
